Bands,Rows,TP,FP,FN,Precision,Recall,F1
220,20,192,241,0,0.443418,1.000000,0.614400
215,45,188,8,4,0.959184,0.979167,0.969072
210,70,88,0,104,1.000000,0.458333,0.628571
215,50,168,2,24,0.988235,0.875000,0.928177
220,25,192,128,0,0.600000,1.000000,0.750000
220,30,192,69,0,0.735632,1.000000,0.847682
215,55,138,0,54,1.000000,0.718750,0.836364
220,35,192,37,0,0.838428,1.000000,0.912114
215,60,122,0,70,1.000000,0.635417,0.777070
215,65,96,0,96,1.000000,0.500000,0.666667
220,40,192,18,0,0.914286,1.000000,0.955224
225,20,192,244,0,0.440367,1.000000,0.611465
220,45,188,8,4,0.959184,0.979167,0.969072
215,70,88,0,104,1.000000,0.458333,0.628571
225,25,192,134,0,0.588957,1.000000,0.741313
220,50,170,2,22,0.988372,0.885417,0.934066
225,30,192,71,0,0.730038,1.000000,0.843956
220,55,138,0,54,1.000000,0.718750,0.836364
220,60,122,0,70,1.000000,0.635417,0.777070
225,35,192,37,0,0.838428,1.000000,0.912114
220,65,96,0,96,1.000000,0.500000,0.666667
225,40,192,18,0,0.914286,1.000000,0.955224
230,20,192,245,0,0.439359,1.000000,0.610493
225,45,188,8,4,0.959184,0.979167,0.969072
220,70,88,0,104,1.000000,0.458333,0.628571
225,50,170,2,22,0.988372,0.885417,0.934066
230,25,192,138,0,0.581818,1.000000,0.735632
225,55,138,0,54,1.000000,0.718750,0.836364
230,30,192,71,0,0.730038,1.000000,0.843956
225,60,124,0,68,1.000000,0.645833,0.784810
230,40,192,18,0,0.914286,1.000000,0.955224
225,65,98,0,94,1.000000,0.510417,0.675862
235,20,192,248,0,0.436364,1.000000,0.607595
230,45,188,8,4,0.959184,0.979167,0.969072
230,50,172,2,20,0.988506,0.895833,0.939891
225,70,88,0,104,1.000000,0.458333,0.628571
230,55,138,0,54,1.000000,0.718750,0.836364
235,25,192,139,0,0.580060,1.000000,0.734226
256,42,190,8,2,0.959596,0.989583,0.974359
235,30,192,71,0,0.730038,1.000000,0.843956
230,60,126,0,66,1.000000,0.656250,0.792453
256,45,188,8,4,0.959184,0.979167,0.969072
256,48,182,2,10,0.989130,0.947917,0.968085
235,35,192,39,0,0.831169,1.000000,0.907801
230,65,98,0,94,1.000000,0.510417,0.675862
256,51,164,2,28,0.987952,0.854167,0.916201
235,40,192,18,0,0.914286,1.000000,0.955224
256,54,152,6,40,0.962025,0.791667,0.868571
235,45,188,8,4,0.959184,0.979167,0.969072
240,20,192,249,0,0.435374,1.000000,0.606635
230,70,88,0,104,1.000000,0.458333,0.628571
256,57,156,2,36,0.987342,0.812500,0.891429
235,50,172,2,20,0.988506,0.895833,0.939891
256,60,130,0,62,1.000000,0.677083,0.807453
240,25,192,141,0,0.576577,1.000000,0.731429
235,55,138,0,54,1.000000,0.718750,0.836364
240,30,192,76,0,0.716418,1.000000,0.834783
235,60,126,0,66,1.000000,0.656250,0.792453
240,35,192,39,0,0.831169,1.000000,0.907801
240,40,192,18,0,0.914286,1.000000,0.955224
235,65,100,0,92,1.000000,0.520833,0.684932
240,45,188,8,4,0.959184,0.979167,0.969072
255,42,190,8,2,0.959596,0.989583,0.974359
240,50,172,2,20,0.988506,0.895833,0.939891
235,70,88,0,104,1.000000,0.458333,0.628571
255,45,188,8,4,0.959184,0.979167,0.969072
245,20,192,249,0,0.435374,1.000000,0.606635
240,55,138,0,54,1.000000,0.718750,0.836364
245,25,192,143,0,0.573134,1.000000,0.728653
255,48,180,2,12,0.989011,0.937500,0.962567
245,30,192,76,0,0.716418,1.000000,0.834783
245,35,192,39,0,0.831169,1.000000,0.907801
256,63,106,0,86,1.000000,0.552083,0.711409
255,51,164,2,28,0.987952,0.854167,0.916201
245,40,192,18,0,0.914286,1.000000,0.955224
256,66,96,0,96,1.000000,0.500000,0.666667
240,60,126,0,66,1.000000,0.656250,0.792453
250,20,192,249,0,0.435374,1.000000,0.606635
245,45,188,8,4,0.959184,0.979167,0.969072
256,69,82,0,110,1.000000,0.427083,0.598540
245,50,172,2,20,0.988506,0.895833,0.939891
250,25,192,145,0,0.569733,1.000000,0.725898
240,65,100,0,92,1.000000,0.520833,0.684932
245,55,142,0,50,1.000000,0.739583,0.850299
250,30,192,78,0,0.711111,1.000000,0.831169
240,70,90,0,102,1.000000,0.468750,0.638298
255,54,152,6,40,0.962025,0.791667,0.868571
255,57,156,2,36,0.987342,0.812500,0.891429
250,40,192,18,0,0.914286,1.000000,0.955224
250,45,188,8,4,0.959184,0.979167,0.969072
245,70,90,0,102,1.000000,0.468750,0.638298
254,42,190,8,2,0.959596,0.989583,0.974359
255,60,128,0,64,1.000000,0.666667,0.800000
250,60,128,0,64,1.000000,0.666667,0.800000
254,45,188,8,4,0.959184,0.979167,0.969072
250,65,100,0,92,1.000000,0.520833,0.684932
255,63,106,0,86,1.000000,0.552083,0.711409
255,66,96,0,96,1.000000,0.500000,0.666667
254,48,82,0,110,1.000000,0.427083,0.598540
254,51,164,2,28,0.987952,0.854167,0.916201
254,54,152,6,40,0.962025,0.791667,0.868571
254,57,156,2,36,0.987342,0.812500,0.891429
254,60,128,0,64,1.000000,0.666667,0.800000
254,63,106,0,86,1.000000,0.552083,0.711409
253,42,190,8,2,0.959596,0.989583,0.974359
254,66,96,0,96,1.000000,0.500000,0.666667
254,69,82,0,110,1.000000,0.427083,0.598540
253,45,188,8,4,0.959184,0.979167,0.969072
253,48,180,2,12,0.989011,0.937500,0.962567
253,51,164,2,28,0.987952,0.854167,0.916201
35,42,130,0,62,1.000000,0.677083,0.807453
253,54,152,6,40,0.962025,0.791667,0.868571
35,48,94,0,98,1.000000,0.489583,0.657343
253,57,154,2,38,0.987179,0.802083,0.885057
35,51,92,2,100,0.978723,0.479167,0.643357
35,54,78,4,114,0.951220,0.406250,0.569343
253,60,128,0,64,1.000000,0.666667,0.800000
35,57,84,2,108,0.976744,0.437500,0.604317
35,63,76,0,116,1.000000,0.395833,0.567164
35,66,68,0,124,1.000000,0.354167,0.523077
253,63,106,0,86,1.000000,0.552083,0.711409
40,42,134,2,58,0.985294,0.697917,0.817073
35,69,72,0,120,1.000000,0.375000,0.545455
40,48,98,0,94,1.000000,0.510417,0.675862
40,51,96,2,96,0.979592,0.500000,0.662069
40,54,80,4,112,0.952381,0.416667,0.579710
40,57,88,2,104,0.977778,0.458333,0.624113
40,63,76,0,116,1.000000,0.395833,0.567164
40,66,68,0,124,1.000000,0.354167,0.523077
253,66,96,0,96,1.000000,0.500000,0.666667
45,42,138,2,54,0.985714,0.718750,0.831325
40,69,72,0,120,1.000000,0.375000,0.545455
45,48,100,0,92,1.000000,0.520833,0.684932
45,51,104,2,88,0.981132,0.541667,0.697987
45,54,82,4,110,0.953488,0.427083,0.589928
45,57,92,2,100,0.978723,0.479167,0.643357
45,63,76,0,116,1.000000,0.395833,0.567164
45,66,68,0,124,1.000000,0.354167,0.523077
253,69,82,0,110,1.000000,0.427083,0.598540
50,42,142,4,50,0.972603,0.739583,0.840237
45,69,72,0,120,1.000000,0.375000,0.545455
50,48,104,0,88,1.000000,0.541667,0.702703
50,51,106,2,86,0.981481,0.552083,0.706667
50,54,82,4,110,0.953488,0.427083,0.589928
50,57,94,2,98,0.979167,0.489583,0.652778
50,63,76,0,116,1.000000,0.395833,0.567164
55,42,146,4,46,0.973333,0.760417,0.853801
50,66,68,0,124,1.000000,0.354167,0.523077
55,48,106,0,86,1.000000,0.552083,0.711409
50,69,72,0,120,1.000000,0.375000,0.545455
55,51,106,2,86,0.981481,0.552083,0.706667
55,54,82,4,110,0.953488,0.427083,0.589928
55,57,94,2,98,0.979167,0.489583,0.652778
60,42,150,4,42,0.974026,0.781250,0.867052
55,63,78,0,114,1.000000,0.406250,0.577778
55,66,68,0,124,1.000000,0.354167,0.523077
60,48,72,0,120,1.000000,0.375000,0.545455
60,51,108,2,84,0.981818,0.562500,0.715232
60,54,82,4,110,0.953488,0.427083,0.589928
60,57,94,2,98,0.979167,0.489583,0.652778
60,63,80,0,112,1.000000,0.416667,0.588235
65,42,152,4,40,0.974359,0.791667,0.873563
60,66,70,0,122,1.000000,0.364583,0.534351
65,48,108,0,84,1.000000,0.562500,0.720000
60,69,72,0,120,1.000000,0.375000,0.545455
65,51,110,2,82,0.982143,0.572917,0.723684
65,54,84,4,108,0.954545,0.437500,0.600000
65,57,96,2,96,0.979592,0.500000,0.662069
65,63,80,0,112,1.000000,0.416667,0.588235
70,42,152,4,40,0.974359,0.791667,0.873563
65,66,70,0,122,1.000000,0.364583,0.534351
70,48,112,0,80,1.000000,0.583333,0.736842
65,69,72,0,120,1.000000,0.375000,0.545455
70,51,114,2,78,0.982759,0.593750,0.740260
70,54,84,4,108,0.954545,0.437500,0.600000
70,57,98,2,94,0.980000,0.510417,0.671233
75,42,152,4,40,0.974359,0.791667,0.873563
70,63,80,0,112,1.000000,0.416667,0.588235
70,66,70,0,122,1.000000,0.364583,0.534351
75,48,116,0,76,1.000000,0.604167,0.753247
70,69,72,0,120,1.000000,0.375000,0.545455
75,51,114,2,78,0.982759,0.593750,0.740260
75,54,84,4,108,0.954545,0.437500,0.600000
75,57,100,2,92,0.980392,0.520833,0.680272
75,63,80,0,112,1.000000,0.416667,0.588235
80,42,158,4,34,0.975309,0.822917,0.892655
75,66,70,0,122,1.000000,0.364583,0.534351
80,48,120,0,72,1.000000,0.625000,0.769231
75,69,72,0,120,1.000000,0.375000,0.545455
80,51,114,2,78,0.982759,0.593750,0.740260
80,54,88,4,104,0.956522,0.458333,0.619718
80,57,106,2,86,0.981481,0.552083,0.706667
80,63,82,0,110,1.000000,0.427083,0.598540
85,42,162,4,30,0.975904,0.843750,0.905028
80,66,70,0,122,1.000000,0.364583,0.534351
85,48,122,0,70,1.000000,0.635417,0.777070
80,69,72,0,120,1.000000,0.375000,0.545455
85,51,116,2,76,0.983051,0.604167,0.748387
85,54,90,4,102,0.957447,0.468750,0.629371
85,57,110,2,82,0.982143,0.572917,0.723684
85,63,82,0,110,1.000000,0.427083,0.598540
90,42,162,4,30,0.975904,0.843750,0.905028
85,66,70,0,122,1.000000,0.364583,0.534351
90,48,128,2,64,0.984615,0.666667,0.795031
85,69,72,0,120,1.000000,0.375000,0.545455
90,51,120,2,72,0.983607,0.625000,0.764331
90,54,92,4,100,0.958333,0.479167,0.638889
90,57,112,2,80,0.982456,0.583333,0.732026
95,42,166,6,26,0.965116,0.864583,0.912088
90,63,82,0,110,1.000000,0.427083,0.598540
95,48,130,2,62,0.984848,0.677083,0.802469
90,66,70,0,122,1.000000,0.364583,0.534351
90,69,72,0,120,1.000000,0.375000,0.545455
95,51,120,2,72,0.983607,0.625000,0.764331
95,54,94,4,98,0.959184,0.489583,0.648276
95,57,112,2,80,0.982456,0.583333,0.732026
100,42,166,6,26,0.965116,0.864583,0.912088
95,63,84,0,108,1.000000,0.437500,0.608696
95,66,70,0,122,1.000000,0.364583,0.534351
95,69,72,0,120,1.000000,0.375000,0.545455
100,48,132,2,60,0.985075,0.687500,0.809816
100,51,124,2,68,0.984127,0.645833,0.779874
100,54,94,4,98,0.959184,0.489583,0.648276
100,57,114,2,78,0.982759,0.593750,0.740260
105,42,168,6,24,0.965517,0.875000,0.918033
105,48,138,2,54,0.985714,0.718750,0.831325
100,63,86,0,106,1.000000,0.447917,0.618705
105,51,132,2,60,0.985075,0.687500,0.809816
100,66,74,0,118,1.000000,0.385417,0.556391
100,69,72,0,120,1.000000,0.375000,0.545455
105,54,94,4,98,0.959184,0.489583,0.648276
105,57,116,2,76,0.983051,0.604167,0.748387
110,42,170,6,22,0.965909,0.885417,0.923913
105,63,86,0,106,1.000000,0.447917,0.618705
110,48,140,2,52,0.985915,0.729167,0.838323
105,66,74,0,118,1.000000,0.385417,0.556391
110,51,134,2,58,0.985294,0.697917,0.817073
105,69,72,0,120,1.000000,0.375000,0.545455
110,54,98,4,94,0.960784,0.510417,0.666667
110,57,118,2,74,0.983333,0.614583,0.756410
115,42,170,6,22,0.965909,0.885417,0.923913
110,63,88,0,104,1.000000,0.458333,0.628571
115,48,140,2,52,0.985915,0.729167,0.838323
110,66,74,0,118,1.000000,0.385417,0.556391
115,51,136,2,56,0.985507,0.708333,0.824242
110,69,72,0,120,1.000000,0.375000,0.545455
115,54,104,4,88,0.962963,0.541667,0.693333
115,57,122,2,70,0.983871,0.635417,0.772152
120,42,172,6,20,0.966292,0.895833,0.929730
120,48,142,2,50,0.986111,0.739583,0.845238
115,63,88,0,104,1.000000,0.458333,0.628571
115,66,74,0,118,1.000000,0.385417,0.556391
120,51,138,2,54,0.985714,0.718750,0.831325
115,69,76,0,116,1.000000,0.395833,0.567164
120,54,108,4,84,0.964286,0.562500,0.710526
120,57,122,2,70,0.983871,0.635417,0.772152
125,42,172,6,20,0.966292,0.895833,0.929730
120,63,88,0,104,1.000000,0.458333,0.628571
125,48,146,2,46,0.986486,0.760417,0.858824
125,51,140,2,52,0.985915,0.729167,0.838323
120,66,76,0,116,1.000000,0.395833,0.567164
120,69,76,0,116,1.000000,0.395833,0.567164
125,54,110,6,82,0.948276,0.572917,0.714286
125,57,124,2,68,0.984127,0.645833,0.779874
130,42,174,6,18,0.966667,0.906250,0.935484
125,63,88,0,104,1.000000,0.458333,0.628571
125,66,76,0,116,1.000000,0.395833,0.567164
130,48,150,2,42,0.986842,0.781250,0.872093
130,51,140,2,52,0.985915,0.729167,0.838323
125,69,76,0,116,1.000000,0.395833,0.567164
130,54,112,6,80,0.949153,0.583333,0.722581
130,57,124,2,68,0.984127,0.645833,0.779874
135,42,176,6,16,0.967033,0.916667,0.941176
130,63,88,0,104,1.000000,0.458333,0.628571
135,48,152,2,40,0.987013,0.791667,0.878613
135,51,140,2,52,0.985915,0.729167,0.838323
130,69,76,0,116,1.000000,0.395833,0.567164
135,54,112,6,80,0.949153,0.583333,0.722581
130,66,76,0,116,1.000000,0.395833,0.567164
135,57,126,2,66,0.984375,0.656250,0.787500
135,63,88,0,104,1.000000,0.458333,0.628571
140,42,182,6,10,0.968085,0.947917,0.957895
140,48,154,2,38,0.987179,0.802083,0.885057
140,51,144,2,48,0.986301,0.750000,0.852071
135,66,76,0,116,1.000000,0.395833,0.567164
140,54,118,6,74,0.951613,0.614583,0.746835
135,69,76,0,116,1.000000,0.395833,0.567164
140,57,128,2,64,0.984615,0.666667,0.795031
145,42,184,6,8,0.968421,0.958333,0.963351
140,63,88,0,104,1.000000,0.458333,0.628571
145,48,158,2,34,0.987500,0.822917,0.897727
140,66,76,0,116,1.000000,0.395833,0.567164
145,51,144,2,48,0.986301,0.750000,0.852071
145,54,120,6,72,0.952381,0.625000,0.754717
140,69,76,0,116,1.000000,0.395833,0.567164
145,57,128,2,64,0.984615,0.666667,0.795031
150,42,184,8,8,0.958333,0.958333,0.958333
145,63,90,0,102,1.000000,0.468750,0.638298
150,48,160,2,32,0.987654,0.833333,0.903955
150,51,146,2,46,0.986486,0.760417,0.858824
145,66,78,0,114,1.000000,0.406250,0.577778
150,54,126,6,66,0.954545,0.656250,0.777778
145,69,76,0,116,1.000000,0.395833,0.567164
150,57,128,2,64,0.984615,0.666667,0.795031
155,42,184,8,8,0.958333,0.958333,0.958333
150,63,90,0,102,1.000000,0.468750,0.638298
155,48,160,2,32,0.987654,0.833333,0.903955
155,51,148,2,44,0.986667,0.770833,0.865497
150,66,78,0,114,1.000000,0.406250,0.577778
155,54,128,6,64,0.955224,0.666667,0.785276
150,69,76,0,116,1.000000,0.395833,0.567164
155,57,128,2,64,0.984615,0.666667,0.795031
160,42,186,8,6,0.958763,0.968750,0.963731
160,48,164,2,28,0.987952,0.854167,0.916201
155,63,90,0,102,1.000000,0.468750,0.638298
160,51,150,2,42,0.986842,0.781250,0.872093
155,66,78,0,114,1.000000,0.406250,0.577778
160,54,128,6,64,0.955224,0.666667,0.785276
155,69,78,0,114,1.000000,0.406250,0.577778
160,57,130,2,62,0.984848,0.677083,0.802469
165,42,186,8,6,0.958763,0.968750,0.963731
160,63,90,0,102,1.000000,0.468750,0.638298
165,48,166,2,26,0.988095,0.864583,0.922222
165,51,150,2,42,0.986842,0.781250,0.872093
160,66,78,0,114,1.000000,0.406250,0.577778
165,54,130,6,62,0.955882,0.677083,0.792683
160,69,78,0,114,1.000000,0.406250,0.577778
165,57,134,2,58,0.985294,0.697917,0.817073
170,42,186,8,6,0.958763,0.968750,0.963731
165,63,94,0,98,1.000000,0.489583,0.657343
170,48,166,2,26,0.988095,0.864583,0.922222
165,66,82,0,110,1.000000,0.427083,0.598540
170,51,150,2,42,0.986842,0.781250,0.872093
170,54,138,6,54,0.958333,0.718750,0.821429
165,69,78,0,114,1.000000,0.406250,0.577778
170,57,134,2,58,0.985294,0.697917,0.817073
175,42,186,8,6,0.958763,0.968750,0.963731
175,48,168,2,24,0.988235,0.875000,0.928177
170,63,94,0,98,1.000000,0.489583,0.657343
175,51,150,2,42,0.986842,0.781250,0.872093
170,66,86,0,106,1.000000,0.447917,0.618705
175,54,140,6,52,0.958904,0.729167,0.828402
170,69,78,0,114,1.000000,0.406250,0.577778
175,57,134,2,58,0.985294,0.697917,0.817073
180,42,186,8,6,0.958763,0.968750,0.963731
175,63,94,0,98,1.000000,0.489583,0.657343
180,48,170,2,22,0.988372,0.885417,0.934066
180,51,150,2,42,0.986842,0.781250,0.872093
175,66,86,0,106,1.000000,0.447917,0.618705
180,54,140,6,52,0.958904,0.729167,0.828402
175,69,78,0,114,1.000000,0.406250,0.577778
180,57,134,2,58,0.985294,0.697917,0.817073
185,42,186,8,6,0.958763,0.968750,0.963731
180,63,96,0,96,1.000000,0.500000,0.666667
180,66,86,0,106,1.000000,0.447917,0.618705
185,48,172,2,20,0.988506,0.895833,0.939891
185,51,150,2,42,0.986842,0.781250,0.872093
185,54,140,6,52,0.958904,0.729167,0.828402
180,69,78,0,114,1.000000,0.406250,0.577778
190,42,186,8,6,0.958763,0.968750,0.963731
185,57,134,2,58,0.985294,0.697917,0.817073
185,63,96,0,96,1.000000,0.500000,0.666667
190,48,174,2,18,0.988636,0.906250,0.945652
190,51,152,2,40,0.987013,0.791667,0.878613
185,66,86,0,106,1.000000,0.447917,0.618705
185,69,78,0,114,1.000000,0.406250,0.577778
190,54,140,6,52,0.958904,0.729167,0.828402
190,57,134,2,58,0.985294,0.697917,0.817073
190,63,96,0,96,1.000000,0.500000,0.666667
195,42,186,8,6,0.958763,0.968750,0.963731
195,48,174,2,18,0.988636,0.906250,0.945652
195,51,154,2,38,0.987179,0.802083,0.885057
190,66,86,0,106,1.000000,0.447917,0.618705
195,54,144,6,48,0.960000,0.750000,0.842105
190,69,78,0,114,1.000000,0.406250,0.577778
200,42,186,8,6,0.958763,0.968750,0.963731
195,57,140,2,52,0.985915,0.729167,0.838323
195,63,100,0,92,1.000000,0.520833,0.684932
200,48,176,2,16,0.988764,0.916667,0.951351
195,66,86,0,106,1.000000,0.447917,0.618705
200,51,154,2,38,0.987179,0.802083,0.885057
200,54,146,6,46,0.960526,0.760417,0.848837
195,69,78,0,114,1.000000,0.406250,0.577778
200,57,142,2,50,0.986111,0.739583,0.845238
205,42,186,8,6,0.958763,0.968750,0.963731
200,63,100,0,92,1.000000,0.520833,0.684932
205,48,178,2,14,0.988889,0.927083,0.956989
205,51,154,2,38,0.987179,0.802083,0.885057
200,66,88,0,104,1.000000,0.458333,0.628571
205,54,148,6,44,0.961039,0.770833,0.855491
200,69,80,0,112,1.000000,0.416667,0.588235
205,57,144,2,48,0.986301,0.750000,0.852071
210,42,186,8,6,0.958763,0.968750,0.963731
205,63,102,0,90,1.000000,0.531250,0.693878
210,48,178,2,14,0.988889,0.927083,0.956989
205,66,90,0,102,1.000000,0.468750,0.638298
210,51,156,2,36,0.987342,0.812500,0.891429
210,54,148,6,44,0.961039,0.770833,0.855491
205,69,80,0,112,1.000000,0.416667,0.588235
